description	material_class	consumable	material_identifier__description	material_identifier_def__description	material_type__description
4-Fluoro-Phenethylammonium bromide	model	TRUE	"4-Fluoro-Phenethylammonium bromide|4FluoroPhenethylammoniumBromide|InChI=1S/C8H10FN.BrH/c9-8-3-1-7(2-4-8)5-6-10;/h1-4H,5-6,10H2;1H|ORNUPOUGVYVYHV-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
4-Fluoro-Phenylammonium bromide	model	TRUE	"4-Fluoro-Phenylammonium bromide|4FluoroPhenBromide|InChI=1S/C6H6FN.BrH/c7-5-1-3-6(8)4-2-5;/h1-4H,8H2;1H|UFXSFFZUFGPRAI-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
4-methoxy-phenethylammonium-bromide	model	TRUE	"4-methoxy-phenethylammonium-bromide|4MethoxyPhenethylammoniumBromide|InChI=1S/C9H13NO.BrH/c1-11-9-4-2-8(3-5-9)6-7-10;/h2-5H,6-7,10H2,1H3;1H|ZMSVLPNLFXWMKL-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
4-Methoxy-Phenylammonium bromide	model	TRUE	"4-Methoxy-Phenylammonium bromide|4MethoxyPhenylammoniumBromide|InChI=1S/C7H9NO.BrH/c1-9-7-4-2-6(8)3-5-7;/h2-5H,8H2,1H3;1H|RJMOZBXAFVSKRY-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Cyclohexylammonium bromide	model	TRUE	"Cyclohexylammonium bromide|CyclohexylammoniumBromide|InChI=1S/C6H13N.BrH/c7-6-4-2-1-3-5-6;/h6H,1-5,7H2;1H|QOHWJRRXQPGIQW-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Dimethylammonium bromide	model	TRUE	"Dimethylammonium bromide|Me2NH2Br|InChI=1S/C2H7N.BrH/c1-3-2;/h3H,1-2H3;1H|FFJMLWSZNCJCSZ-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Imidazole hydrobromide	model	TRUE	"Imidazole hydrobromide|IDBr|InChI=1S/C3H4N2.BrH/c1-2-5-3-4-1;/h1-3H,(H,4,5);1H|VWUCIBOKNZGWLX-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
iso-Pentylammonium bromide	model	TRUE	"iso-Pentylammonium bromide|IsoPentylammoniumBromide|InChI=1S/C5H13N.BrH/c1-5(2)3-4-6;/h5H,3-4,6H2,1-2H3;1H|OJOMXIACRLGDRB-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
n-Butylammonium bromide	model	TRUE	"n-Butylammonium bromide|n-BtBr|InChI=1S/C4H11N.BrH/c1-2-3-4-5;/h2-5H2,1H3;1H|SXGBREZGMJVYRL-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
n-Hexylammonium bromide	model	TRUE	"n-Hexylammonium bromide|NHexylammoniumBromide|InChI=1S/C6H15N.BrH/c1-2-3-4-5-6-7;/h2-7H2,1H3;1H|ZLSVALLKHLKICA-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
n-Octylammonium bromide	model	TRUE	"n-Octylammonium bromide|NOctylammoniumBromide|InChI=1S/C8H19N.BrH/c1-2-3-4-5-6-7-8-9;/h2-9H2,1H3;1H|GIDDQKKGAYONOU-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
N-propylammonium bromide	model	TRUE	"N-propylammonium bromide|NPropylammoniumBromide|InChI=1S/C3H9N.BrH/c1-2-3-4;/h2-4H2,1H3;1H|MVYQJCPZZBFMLF-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"N,N-Diethylpropane-1,3-diammonium bromide"	model	TRUE	"N,N-Diethylpropane-1,3-diammonium bromide|NNDiethylpropaneDiammoniumBromide|InChI=1S/C7H18N2.2BrH/c1-3-9(4-2)7-5-6-8;;/h3-8H2,1-2H3;2*1H|WIEDADHWBFYIRI-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Phenylammonium bromide	model	TRUE	"Phenylammonium bromide|PhenylammoniumBromide|InChI=1S/C6H7N.BrH/c7-6-4-2-1-3-5-6;/h1-5H,7H2;1H|KBPWECBBZZNAIE-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Pyridinium bromide	model	TRUE	Pyridinium bromide|PyridiniumBromide|InChI=1S/C5H5N.BrH/c1-2-4-6-5-3-1;/h1-5H;1H|BBFCIBZLAVOLCF-UHFFFAOYSA-N	Chemical_Name|Abbreviation|InChI|InChIKey	organic
t-Butylammonium bromide	model	TRUE	"t-Butylammonium bromide|TButylammoniumBromide|InChI=1S/C4H11N.BrH/c1-4(2,3)5;/h5H2,1-3H3;1H|CQKAPARXKPTKBK-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
tert-Octylammonium bromide	model	TRUE	"tert-Octylammonium bromide|TOctylammoniumBromide|InChI=1S/C8H19N.BrH/c1-7(2,3)6-8(4,5)9;/h6,9H2,1-5H3;1H|GDLPVSVSDKCFKN-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
2-Methoxyethylammonium bromide	model	TRUE	"2-Methoxyethylammonium bromide|2MethoxyEthylammoniumBromide|InChI=1S/C3H9NO.BrH/c1-5-3-2-4;/h2-4H2,1H3;1H|XAZUEHTWFIPWFR-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"N,N-Dimethylmethyleneammonium iodide"	model	TRUE	"N,N-Dimethylmethyleneammonium iodide|NNDimethylmethyleneammoniumIodide|InChI=1S/C3H8N.HI/c1-4(2)3;/h1H2,2-3H3;1H/q+1;/p-1|VVDUZZGYBOWDSQ-UHFFFAOYSA-M"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
2-Fluoroethylamine hydrochloride	model	TRUE	"2-Fluoroethylamine hydrochloride|2Fluoroethylaminehydrochloride|InChI=1S/C2H6FN.ClH/c3-1-2-4;/h1-2,4H2;1H|YRRZGBOZBIVMJT-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Iodomethyltrimethylammonium iodide	model	TRUE	"Iodomethyltrimethylammonium iodide|Iodomethyltrimethylammoniumiodide|InChI=1S/C4H11IN.HI/c1-6(2,3)4-5;/h4H2,1-3H3;1H/q+1;/p-1|IFVIWWQMNYZYFQ-UHFFFAOYSA-M"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Water	model	TRUE	Water|H2O|InChI=1S/H2O/h1H2|XLYOFNOQVPJJNP-UHFFFAOYSA-N	Chemical_Name|Abbreviation|InChI|InChIKey	inorganic
1-Butyl-1-methylpyrrolidinium iodide	model	TRUE	"1-Butyl-1-methylpyrrolidinium iodide|1Butyl1methylpyrrolidiniumiodide|InChI=1S/C9H20N.HI/c1-3-4-7-10(2)8-5-6-9-10;/h3-9H2,1-2H3;1H/q+1;/p-1|BEZANEDYKZXSCF-UHFFFAOYSA-M"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Diethanolammonium iodide	model	TRUE	"Diethanolammonium iodide|Diethanolammoniumiodide|InChI=1S/C4H11NO2.HI/c6-3-1-5-2-4-7;/h5-7H,1-4H2;1H|QZTGNBUTHRNAPP-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Ethanolammonium Iodide	model	TRUE	"Ethanolammonium Iodide|Ethanolammoniumiodide|InChI=1S/C2H7NO.HI/c3-1-2-4;/h4H,1-3H2;1H|WBUUOQGFAPWFMC-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
2-Thiophenemethylammonium iodide	model	TRUE	"2-Thiophenemethylammonium iodide|2Thiophenmethylammoniumiodide|InChI=1S/C5H8NS.HI/c6-4-5-2-1-3-7-5;/h1,3H,2,4,6H2;1H|QTWVKKIQSUTRSU-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
4-Hydroxyphenethylammonium iodide	model	TRUE	"4-Hydroxyphenethylammonium iodide|4Hydroxyphenethylammoniumiodide|InChI=1S/C8H11NO.HI/c9-6-5-7-1-3-8(10)4-2-7;/h1-4,10H,5-6,9H2;1H|HJFYRMFYQMIZDG-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
4-Chlorophenylammonium iodide	model	TRUE	"4-Chlorophenylammonium iodide|4Chlorophenylammoniumiodide|InChI=1S/C6H6ClN.HI/c7-5-1-3-6(8)4-2-5;/h1-4H,8H2;1H|NJQKYAASWUGXIT-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
4-Chlorophenethylammonium iodide	model	TRUE	"4-Chlorophenethylammonium iodide|4Chlorophenethylammoniumiodide|InChI=1S/C8H10ClN.HI/c9-8-3-1-7(2-4-8)5-6-10;/h1-4H,5-6,10H2;1H|ZKRCWINLLKOVCL-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Di-propylammonium iodide	model	TRUE	"Di-propylammonium iodide|Dipropylammoniumiodide|InChI=1S/C6H15N.HI/c1-3-5-7-6-4-2;/h7H,3-6H2,1-2H3;1H|OXVTTWZGFRRUCD-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Diphenylammonium iodide	model	TRUE	"Diphenylammonium iodide|Diphenylammoniumiodide|InChI=1S/C12H11N.HI/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12;/h1-10,13H;1H|UEQHJXUGBQCDJY-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"2,2-dimethylpropane-1,3-diammonium iodide"	model	TRUE	"2,2-dimethylpropane-1,3-diammonium iodide|22dimethylpropane13diammoniumiodide|InChI=1S/C5H14N2.2HI/c1-5(2,3-6)4-7;;/h3-4,6-7H2,1-2H3;2*1H|ODZKCFHAXXFIQC-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
2-Methoxyethylammonium iodide	model	TRUE	"2-Methoxyethylammonium iodide|2methoxyethylammoniumiodide|InChI=1S/C3H9NO.HI/c1-5-3-2-4;/h2-4H2,1H3;1H|SCDXFIYEBSXILC-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
1-Butyl-1-methylpiperadine bromide	model	TRUE	"1-Butyl-1-methylpiperadine bromide|1Butyl1methylpiperadinebromide|InChI=1S/C10H22N.BrH/c1-3-4-8-11(2)9-6-5-7-10-11;/h3-10H2,1-2H3;1H/q+1;/p-1|WYABBCZMFVULEF-UHFFFAOYSA-M"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
1-Butyl-1-methylpiperidinium iodide	model	TRUE	"1-Butyl-1-methylpiperidinium iodide|1Butyl1methylpiperidiniumiodide|InChI=1S/C10H22N.HI/c1-3-4-8-11(2)9-6-5-7-10-11;/h3-10H2,1-2H3;1H/q+1;/p-1|OOAKIOMAIRZQKN-UHFFFAOYSA-M"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
2-Thiopheneethylammonium iodide	model	TRUE	"2-Thiopheneethylammonium iodide|2Thiopheneethylammoniumiodide|InChI=1S/C6H9NS.HI/c7-4-3-6-2-1-5-8-6;/h1-2,5H,3-4,7H2;1H|KLYROMPVPJRYBI-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic 
Ethyltriphenylphosphonium iodide 	model	TRUE	"Ethyltriphenylphosphonium iodide |Ethyltriphenylphosphoniumiodide |InChI=1S/C20H20P.HI/c1-2-21(18-12-6-3-7-13-18,19-14-8-4-9-15-19)20-16-10-5-11-17-20;/h3-17H,2H2,1H3;1H/q+1;/p-1|SLAFUPJSGFVWPP-UHFFFAOYSA-M"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Methylphenylphosphonium iodide	model	TRUE	"Methylphenylphosphonium iodide|Methylphenylphosphoniumiodide|InChI=1S/C19H18P.HI/c1-20(17-11-5-2-6-12-17,18-13-7-3-8-14-18)19-15-9-4-10-16-19;/h2-16H,1H3;1H/q+1;|JNMIXMFEVJHFNY-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Iodomethyltriphenylphosphonium iodide	model	TRUE	"Iodomethyltriphenylphosphonium iodide|iodomethyltriphenylphosphoniumiodide|InChI=1S/C19H17IP.HI/c20-16-21(17-10-4-1-5-11-17,18-12-6-2-7-13-18)19-14-8-3-9-15-19;/h1-15H,16H2;1H/q+1;/p-1|NAVMMSRRNOXQMJ-UHFFFAOYSA-M"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"1,3-dimethylpyridinium iodide"	model	TRUE	"1,3-dimethylpyridinium iodide|13dimethylpyridinium|InChI=1S/C7H10N.HI/c1-7-4-3-5-8(2)6-7;/h3-6H,1-2H3;1H/q+1;|BVUPLMFUPRCOEH-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"1,4-dimethylpyridinium iodide"	model	TRUE	"1,4-dimethylpyridinium iodide|14DMPI|InChI=1S/C7H10N.HI/c1-7-3-5-8(2)6-4-7;/h3-6H,1-2H3;1H/q+1;/p-1|YOBTXORLVXZWSR-UHFFFAOYSA-M"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
isopropyltriphenylphosphonium iodide	model	TRUE	"isopropyltriphenylphosphonium iodide|isopropyltriphenylphosphoniumiodide|InChI=1S/C21H22P.HI/c1-18(2)22(19-12-6-3-7-13-19,20-14-8-4-9-15-20)21-16-10-5-11-17-21;/h3-18H,1-2H3;1H/q+1;/p-1|HHBXWXJLQYJJBW-UHFFFAOYSA-M"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
1-Aminopyridinium iodide	model	TRUE	"1-Aminopyridinium iodide|1aminopyridiniumiodide|InChI=1S/C5H7N2.HI/c6-7-4-2-1-3-5-7;/h1-5H,6H2;1H/q+1;/p-1|NDRLPYIMWROJBG-UHFFFAOYSA-M"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
tetrabutylammonium iodide	model	TRUE	"tetrabutylammonium iodide|tetrabutylammoniumiodide|InChI=1S/C16H36N.HI/c1-5-9-13-17(14-10-6-2,15-11-7-3)16-12-8-4;/h5-16H2,1-4H3;1H/q+1;/p-1|DPKBAXPHAYBPRL-UHFFFAOYSA-M"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
1-butyl-4-methylpyridinium iodide	model	TRUE	"1-butyl-4-methylpyridinium iodide|1butyl4methylpyridiniumiodide|InChI=1S/C10H16N.HI/c1-3-4-7-11-8-5-10(2)6-9-11;/h5-6,8-9H,3-4,7H2,1-2H3;1H/q+1;/p-1|RSJCFBORABJFGA-UHFFFAOYSA-M"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Phenyltriethylammonium iodide	model	TRUE	"Phenyltriethylammonium iodide|phenyltriethylammoniumiodide|InChI=1S/C12H20N.HI/c1-4-13(5-2,6-3)12-10-8-7-9-11-12;/h7-11H,4-6H2,1-3H3;1H/q+1;/p-1|WMSWXWGJYOIACA-UHFFFAOYSA-M"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
2-Chloro-1-methylpyridinium iodide	model	TRUE	"2-Chloro-1-methylpyridinium iodide|2chloro1methylpyridiniumiodide|InChI=1S/C6H7ClN.HI/c1-8-5-3-2-4-6(8)7;/h2-5H,1H3;1H/q+1;/p-1|ABFPKTQEQNICFT-UHFFFAOYSA-M"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
4-Chlorophenethylammonium bromide	model	TRUE	4-Chlorophenethylammonium bromide|4chlorophenethylammoniumbromide	Chemical_Name|Abbreviation|InChI|InChIKey	
diphenylammonium bromide	model	TRUE	diphenylammonium bromide	Chemical_Name|Abbreviation|InChI|InChIKey	
4-Chlorophenylammonium bromide	model	TRUE	4-Chlorophenylammonium bromide	Chemical_Name|Abbreviation|InChI|InChIKey	
4-hydroxyphenethylammonium bromide	model	TRUE	4-hydroxyphenethylammonium bromide	Chemical_Name|Abbreviation|InChI|InChIKey	
2-thiophenemethylammonium bromide	model	TRUE	2-thiophenemethylammonium bromide	Chemical_Name|Abbreviation|InChI|InChIKey	
trimethylammonium bromide	model	TRUE	trimethylammonium bromide	Chemical_Name|Abbreviation|InChI|InChIKey	
iso-pentylammonium bromide	model	TRUE	iso-pentylammonium bromide	Chemical_Name|Abbreviation|InChI|InChIKey	
Methyltriphenylphosphonium bromide	model	TRUE	Methyltriphenylphosphonium bromide	Chemical_Name|Abbreviation|InChI|InChIKey	
2-(2-Naphthyl)ethylamine hydrochloride	model	TRUE	"2-(2-Naphthyl)ethylamine hydrochloride|Naphthylethylaminehydrochloride|InChI=1S/C12H13N.ClH/c13-8-7-10-5-6-11-3-1-2-4-12(11)9-10;/h1-6,9H,7-8,13H2;1H|VJPPXKBLHHCXLG-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Piperidinium bromide	model	TRUE	"Piperidinium bromide|Piperidiniumbromide|InChI=1S/C5H11N.BrH/c1-2-4-6-5-3-1;/h6H,1-5H2;1H|ROFVJSWBDQUQGW-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Nonanoic Acid	model	TRUE	"Nonanoic Acid|Nonanoicacid|InChI=1S/C9H18O2/c1-2-3-4-5-6-7-8-9(10)11/h2-8H2,1H3,(H,10,11)|FBUKVWPVBMHYJY-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	acid
Octylamine	model	TRUE	"Octylamine|Octylamine|InChI=1S/C8H19N/c1-2-3-4-5-6-7-8-9/h2-9H2,1H3|IOQPZZOEVPZRBK-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
1-Bromooctane	model	TRUE	"1-Bromooctane|1bromooctane|InChI=1S/C8H17Br/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3|VMKOFRJSULQZRM-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Trioctylphosphine	model	TRUE	"Trioctylphosphine|Trioctylphosphine|InChI=1S/C24H51P/c1-4-7-10-13-16-19-22-25(23-20-17-14-11-8-5-2)24-21-18-15-12-9-6-3/h4-24H2,1-3H3|RMZAYIKUYWXQPB-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
1-Octanol	model	TRUE	"1-Octanol|1Octanol|InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3|KBPLFHHGFOOTCA-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"2,2'-Biquinoline"	model	TRUE	"2,2'-Biquinoline|22biquinoline|InChI=1S/C18H12N2/c1-3-7-15-13(5-1)9-11-17(19-15)18-12-10-14-6-2-4-8-16(14)20-18/h1-12H|WPTCSQBWLUUYDV-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"4,4'-Dimethyl-2,2'-dipyridyl"	model	TRUE	"4,4'-Dimethyl-2,2'-dipyridyl|44dimethyl22dipyridyl|InChI=1S/C12H12N2/c1-9-3-5-13-11(7-9)12-8-10(2)4-6-14-12/h3-8H,1-2H3|NBPGPQJFYXNFKN-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"6,6'-Dimethyl-2,2'-dipyridyl"	model	TRUE	"6,6'-Dimethyl-2,2'-dipyridyl|66dimethyl22dipyridyl|InChI=1S/C12H12N2/c1-9-5-3-7-11(13-9)12-8-4-6-10(2)14-12/h3-8H,1-2H3|OHJPGUSXUGHOGE-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"2,6-Bis(2-pyridyl)-4(1H)-pyridone"	model	TRUE	"2,6-Bis(2-pyridyl)-4(1H)-pyridone|26Bis2pyridyl41Hpyridone|InChI=1S/C15H11N3O/c19-11-9-14(12-5-1-3-7-16-12)18-15(10-11)13-6-2-4-8-17-13/h1-10H,(H,18,19)|HRORSVNZQWCZTD-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"6,6''-Dibromo-2,2':6',2''-terpyridine"	model	TRUE	"6,6''-Dibromo-2,2':6',2''-terpyridine|66Dibromo2262terpyridine|InChI=1S/C15H9Br2N3/c16-14-8-2-6-12(19-14)10-4-1-5-11(18-10)13-7-3-9-15(17)20-13/h1-9H|PYMBATDYUCQLBC-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"5,5'-Dimethyl-2,2'-dipyridyl"	model	TRUE	"5,5'-Dimethyl-2,2'-dipyridyl|55Dimethyl22dipyridyl|InChI=1S/C12H12N2/c1-9-3-5-11(13-7-9)12-6-4-10(2)8-14-12/h3-8H,1-2H3|PTRATZCAGVBFIQ-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"2,2'-bipyridine-3,3'-diol"	model	TRUE	"2,2'-bipyridine-3,3'-diol|22bipyridine33diol|InChI=1S/C10H8N2O2/c13-7-3-1-5-11-9(7)10-8(14)4-2-6-12-10/h1-6,13-14H|RJNRKZBHLCOHNM-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"2,2'-bipyridine-4,4'-dicarboxaldehyde"	model	TRUE	"2,2'-bipyridine-4,4'-dicarboxaldehyde|22bipyridine44dicarboxaldehyde|InChI=1S/C12H8N2O2/c15-7-9-1-3-13-11(5-9)12-6-10(8-16)2-4-14-12/h1-8H|UJCACAOPZBJKIW-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"2,2'-bipyridyl"	model	TRUE	"2,2'-bipyridyl|22bipyridyl|InChI=1S/C10H8N2/c1-3-7-11-9(5-1)10-6-2-4-8-12-10/h1-8H|ROFVEXUMMXZLPA-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"4,4'-di-tert-butyl-2,2'-dipyridyl"	model	TRUE	"4,4'-di-tert-butyl-2,2'-dipyridyl|44ditertbutyl22dipyridyl|InChI=1S/C18H24N2/c1-17(2,3)13-7-9-19-15(11-13)16-12-14(8-10-20-16)18(4,5)6/h7-12H,1-6H3|TXNLQUKVUJITMX-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
4-4'-dimethoxy-2-2'-bipyridine	model	TRUE	"4-4'-dimethoxy-2-2'-bipyridine|44dimethoxy22bipyridine|InChI=1S/C12H12N2O2/c1-15-9-3-5-13-11(7-9)12-8-10(16-2)4-6-14-12/h3-8H,1-2H3|IMEVSAIFJKKDAP-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"Trimethyl2,2:6,2terpyridine4,4,4tricarboxylate"	model	TRUE	"Trimethyl2,2:6,2terpyridine4,4,4tricarboxylate|Trimethyl2262terpyridine444tricarboxylate|InChI=1S/C21H17N3O6/c1-28-19(25)12-4-6-22-15(8-12)17-10-14(21(27)30-3)11-18(24-17)16-9-13(5-7-23-16)20(26)29-2/h4-11H,1-3H3|YDXTYOYBYASPDS-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"4'-(4-Methylphenyl)-2,2':6',2''-terpyridine"	model	TRUE	"4'-(4-Methylphenyl)-2,2':6',2''-terpyridine|44Methylphenyl2262terpyridine|InChI=1S/C22H17N3/c1-16-8-10-17(11-9-16)18-14-21(19-6-2-4-12-23-19)25-22(15-18)20-7-3-5-13-24-20/h2-15H,1H3|IDJYBUVHZHLIIT-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
"4,4,4-Tri-tert-Butyl-2,2:6,2-terpyridine"	model	TRUE	"4,4,4-Tri-tert-Butyl-2,2:6,2-terpyridine|444TritertButyl2262terpyridine|InChI=1S/C27H35N3/c1-25(2,3)18-10-12-28-21(14-18)23-16-20(27(7,8)9)17-24(30-23)22-15-19(11-13-29-22)26(4,5)6/h10-17H,1-9H3|QMABMHJGSFUTPF-UHFFFAOYSA-N"	Chemical_Name|Abbreviation|InChI|InChIKey	organic
Imidazolium bromide	model	TRUE	"ImidazoliumBromide|VWUCIBOKNZGWLX-UHFFFAOYSA-N|Imidazolium bromide|InChI=1S/C3H4N2.BrH/c1-2-5-3-4-1;/h1-3H,(H,4,5);1H|c1c[nH+]c[nH]1.[Br-]"	Abbreviation|InChIKey|Chemical_Name|InChI|SMILES	organic
